observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,mean_daily_net_return,positive_net_day_fraction,average_absolute_position,average_daily_turnover,total_turnover,position_changes,asset,method,policy,strategy,cost_bps
304,-0.15677657339389084,-0.18514098523084366,0.45540479299617614,-0.22125802891219606,-0.30685144852177837,-0.00027606018316575514,0.47368421052631576,1.0,0.8125,247.0,124,BTC,phase0_xgb,daily_sign,phase0_xgb__daily_sign,10
304,-0.18000026420986437,-0.21201172853078165,0.4565584148629535,-0.2933442124909646,-0.5022973303806784,-0.000366928133326291,0.4934210526315789,1.0,0.7138157894736842,217.0,109,BTC,phase5_concat_xgb,cost_aware,phase5_concat_xgb__cost_aware,10
304,-0.21913337685046896,-0.2569439768002909,0.4571238457009953,-0.4208646845754331,-0.42298185927036724,-0.000527088446939338,0.48355263157894735,1.0,0.01644736842105263,5.0,3,BTC,phase4_short_window_only_lstm,daily_sign,phase4_short_window_only_lstm__daily_sign,10
304,-0.2206006783536606,-0.2586200825585797,0.4555339586714808,-0.42790262910436355,-0.3582570686857586,-0.0005340388453749182,0.4868421052631579,1.0,0.7138157894736842,217.0,109,BTC,phase5_reliability_fusion_xgb,daily_sign,phase5_reliability_fusion_xgb__daily_sign,10
304,-0.22536367832490145,-0.26405651332700786,0.45135102392150467,-0.45333841541499253,-0.4475401774408404,-0.0005605883780287927,0.47039473684210525,0.9802631578947368,0.003289473684210526,1.0,1,BTC,phase1_lstm,cost_aware,phase1_lstm__cost_aware,10
304,-0.24628763353675798,-0.28785901092220056,0.4560738076077623,-0.5146613917671913,-0.45940842600154075,-0.0006430783029369129,0.48355263157894735,0.9901315789473685,0.29276315789473684,89.0,45,BTC,arima,cost_aware,arima__cost_aware,10
304,-0.2520466428278856,-0.2943872141263738,0.4575874431081331,-0.5327444595675606,-0.44730298015914194,-0.0006678826714617652,0.4769736842105263,1.0,0.01644736842105263,5.0,3,BTC,phase0_lstm,daily_sign,phase0_lstm__daily_sign,10
304,-0.26626934048649464,-0.3104662351247409,0.45748245889239836,-0.5832223985248534,-0.4584618946074932,-0.0007309973067349924,0.48355263157894735,1.0,0.04276315789473684,13.0,7,BTC,phase3_crypto_lstm,daily_sign,phase3_crypto_lstm__daily_sign,10
304,-0.26626934048649464,-0.3104662351247409,0.45748245889239836,-0.5832223985248535,-0.4584618946074932,-0.0007309973067349925,0.48355263157894735,1.0,0.04276315789473684,13.0,7,BTC,phase3_reference_lstm,daily_sign,phase3_reference_lstm__daily_sign,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862473,-0.4707243505660801,-0.0008103469500451204,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase1_lstm,daily_sign,phase1_lstm__daily_sign,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862473,-0.4707243505660801,-0.0008103469500451204,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase3_crypto_lstm,cost_aware,phase3_crypto_lstm__cost_aware,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862473,-0.4707243505660801,-0.0008103469500451204,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,buy_and_hold,benchmark,buy_and_hold,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862475,-0.4707243505660801,-0.0008103469500451206,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase3_reference_lstm,cost_aware,phase3_reference_lstm__cost_aware,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862475,-0.4707243505660801,-0.0008103469500451206,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase4_combined_lstm,daily_sign,phase4_combined_lstm__daily_sign,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862475,-0.4707243505660801,-0.0008103469500451206,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase4_combined_lstm,cost_aware,phase4_combined_lstm__cost_aware,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862475,-0.4707243505660801,-0.0008103469500451206,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase4_decay_only_lstm,daily_sign,phase4_decay_only_lstm__daily_sign,10
304,-0.28374229523159356,-0.330134179262886,0.4575058879235854,-0.6464979895862475,-0.4707243505660801,-0.0008103469500451206,0.48026315789473684,1.0,0.003289473684210526,1.0,1,BTC,phase4_decay_only_lstm,cost_aware,phase4_decay_only_lstm__cost_aware,10
304,-0.28822097542527836,-0.3351600909301091,0.45799938485767083,-0.6616527885972685,-0.49539108215156746,-0.0008302371785394836,0.4605263157894737,1.0,0.029605263157894735,9.0,5,BTC,phase5_reliability_fusion_lstm,daily_sign,phase5_reliability_fusion_lstm__daily_sign,10
304,-0.2907869362957347,-0.33803672055272405,0.45752970994688336,-0.6723530442037736,-0.4712739537617793,-0.0008427986117711141,0.47368421052631576,0.993421052631579,0.003289473684210526,1.0,1,BTC,phase4_short_window_only_lstm,cost_aware,phase4_short_window_only_lstm__cost_aware,10
304,-0.3006510399709901,-0.34907560960593653,0.4554268200314465,-0.7132236484955611,-0.4461931843259659,-0.0008899210361796153,0.4769736842105263,0.993421052631579,0.694078947368421,211.0,106,BTC,phase2_general_xgb,cost_aware,phase2_general_xgb__cost_aware,10
304,-0.3006510399709901,-0.34907560960593653,0.4554268200314465,-0.7132236484955611,-0.4461931843259659,-0.0008899210361796153,0.4769736842105263,0.993421052631579,0.694078947368421,211.0,106,BTC,phase2_xgb,cost_aware,phase2_xgb__cost_aware,10
304,-0.3296902069102404,-0.381390785317966,0.4556145818323081,-0.8240735238073154,-0.48026902160341867,-0.0010286572984891688,0.4868421052631579,1.0,0.5625,171.0,86,BTC,phase5_reliability_fusion_xgb,cost_aware,phase5_reliability_fusion_xgb__cost_aware,10
304,-0.34253047661220215,-0.39559098591882413,0.4557864211506949,-0.8747773888281826,-0.4486631322289324,-0.0010923606996097186,0.4868421052631579,1.0,0.7993421052631579,243.0,122,BTC,phase2_general_xgb,daily_sign,phase2_general_xgb__daily_sign,10
304,-0.34253047661220215,-0.39559098591882413,0.4557864211506949,-0.8747773888281826,-0.4486631322289324,-0.0010923606996097186,0.4868421052631579,1.0,0.7993421052631579,243.0,122,BTC,phase2_xgb,daily_sign,phase2_xgb__daily_sign,10
304,-0.35058142894022293,-0.4044663505224998,0.4576999124041078,-0.9023430468999936,-0.477193098700185,-0.0011315132425331036,0.48355263157894735,1.0,0.0625,19.0,10,BTC,phase5_concat_lstm,daily_sign,phase5_concat_lstm__daily_sign,10
304,-0.3521290216567583,-0.40616989566532,0.45551477086582187,-0.9145734836925729,-0.5308964041056019,-0.0011413746051073394,0.47368421052631576,1.0,0.8914473684210527,271.0,136,BTC,phase3_crypto_xgb,daily_sign,phase3_crypto_xgb__daily_sign,10
304,-0.3521290216567583,-0.40616989566532,0.45551477086582187,-0.9145734836925729,-0.5308964041056019,-0.0011413746051073394,0.47368421052631576,1.0,0.8914473684210527,271.0,136,BTC,phase3_reference_xgb,daily_sign,phase3_reference_xgb__daily_sign,10
304,-0.3521290216567583,-0.40616989566532,0.45551477086582187,-0.9145734836925729,-0.5308964041056019,-0.0011413746051073394,0.47368421052631576,1.0,0.8914473684210527,271.0,136,BTC,phase4_decay_only_xgb,daily_sign,phase4_decay_only_xgb__daily_sign,10
304,-0.3624969160449517,-0.41756144200859213,0.455275193082669,-0.9580886486754031,-0.5264336184546918,-0.001195052039769884,0.47368421052631576,1.0,0.694078947368421,211.0,106,BTC,phase3_crypto_xgb,cost_aware,phase3_crypto_xgb__cost_aware,10
304,-0.3624969160449517,-0.41756144200859213,0.455275193082669,-0.9580886486754036,-0.5264336184546918,-0.0011950520397698845,0.47368421052631576,1.0,0.694078947368421,211.0,106,BTC,phase3_reference_xgb,cost_aware,phase3_reference_xgb__cost_aware,10
304,-0.3624969160449517,-0.41756144200859213,0.455275193082669,-0.9580886486754036,-0.5264336184546918,-0.0011950520397698845,0.47368421052631576,1.0,0.694078947368421,211.0,106,BTC,phase4_decay_only_xgb,cost_aware,phase4_decay_only_xgb__cost_aware,10
