source_phase,asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,source_file,result_id
phase3,BTC,phase2_general,xgb,phase2_general_xgb,0.0171729494837657,0.0244137644835541,-0.0357757696963818,0.506578947368421,0.4317125502652969,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase2_general_xgb
phase3,BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.0170401354644876,0.0242968403828836,-0.0258783085284326,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase3_crypto_lstm
phase3,BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.0176825910076034,0.0249221858230469,-0.0793654329868327,0.4901315789473684,0.6559315415238023,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase3_crypto_xgb
phase3,BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.0166648493825606,0.0240133875109925,-0.0020816382276849,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__random_walk_zero_return
phase3,ETH,benchmark,arima,arima,0.0229923275444329,0.0336592133220988,-0.0056831339809726,0.5197368421052632,0.2640894673163735,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__arima
phase3,ETH,phase0,lstm,phase0_lstm,0.0237778464572566,0.0342181736642965,-0.0393621469563736,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__phase0_lstm
phase3,ETH,phase0,xgb,phase0_xgb,0.0245146968044746,0.0346499376693039,-0.0657569150258263,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__phase0_xgb
phase3,ETH,phase2_general,lstm,phase2_general_lstm,0.024450611844703,0.0345798427236784,-0.0614493394985788,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__phase2_general_lstm
phase3,ETH,phase2_general,xgb,phase2_general_xgb,0.0241025392083515,0.0342795405310662,-0.0430934736306303,0.5263157894736842,0.1948265530709673,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__phase2_general_xgb
phase3,ETH,phase3_crypto,lstm,phase3_crypto_lstm,0.0235127788953677,0.0340610626605904,-0.0298397013197526,0.5230263157894737,0.2279819152999158,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__phase3_crypto_lstm
phase3,ETH,phase3_crypto,xgb,phase3_crypto_xgb,0.024686369537748,0.0350385508511316,-0.0897967685300238,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__phase3_crypto_xgb
phase3,ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.0229388161849642,0.0335957913281933,-0.0018968102590299,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__ETH__random_walk_zero_return
phase4,BTC,benchmark,arima,arima,0.0166770411305337,0.0240109249203937,-0.0018761203441846,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__arima
phase4,BTC,phase3_reference,lstm,phase3_reference_lstm,0.0170401354644876,0.0242968403828836,-0.0258783085284322,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase3_reference_lstm
phase4,BTC,phase3_reference,xgb,phase3_reference_xgb,0.0176825910076033,0.0249221858230468,-0.079365432986832,0.4901315789473684,0.6559315415238023,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase3_reference_xgb
phase4,BTC,phase4_combined,lstm,phase4_combined_lstm,0.0168175202337697,0.0241540145825074,-0.0138527748943264,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase4_combined_lstm
phase4,BTC,phase4_combined,xgb,phase4_combined_xgb,0.0180130547440462,0.0254466049121095,-0.125267924816725,0.5098684210526315,0.3871721101757538,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase4_combined_xgb
phase4,BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,0.0167630123582427,0.0241007465725387,-0.0093859092633954,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase4_decay_only_lstm
phase4,BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,0.0176825910076034,0.0249221858230469,-0.0793654329868327,0.4901315789473684,0.6559315415238023,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase4_decay_only_xgb
phase4,BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,0.0168480274502366,0.0242147181214183,-0.0189551803347736,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase4_short_window_only_lstm
phase4,BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,0.0180130547440462,0.0254466049121095,-0.125267924816725,0.5098684210526315,0.3871721101757538,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__phase4_short_window_only_xgb
phase4,BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.0166648493825606,0.0240133875109925,-0.0020816382276849,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__BTC__random_walk_zero_return
phase4,ETH,benchmark,arima,arima,0.0229923275444329,0.0336592133220988,-0.0056831339809726,0.5197368421052632,0.2640894673163735,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__arima
phase4,ETH,phase3_reference,lstm,phase3_reference_lstm,0.0235127788953676,0.0340610626605903,-0.0298397013197524,0.5230263157894737,0.2279819152999158,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase3_reference_lstm
phase4,ETH,phase3_reference,xgb,phase3_reference_xgb,0.0246863695377479,0.0350385508511315,-0.0897967685300233,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase4/ensemble_metrics.csv,phase4__ETH__phase3_reference_xgb
