source_phase,asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family,source_file,candidate_result_id,reference_result_id,final_family,dm_p_value_holm_cross_phase_family,wilcoxon_p_value_holm_cross_phase_family
phase2,ETH,sentiment_increment,Phase 2 vs Phase 0 for LSTM,phase2_lstm,phase0_lstm,0.0244506118447031,0.0237778464572566,0.0006727653874464,0.0006727653874464,1.938330178706285,5,0.0535115708940693,0.0153812492361002,0.99230937538195,304,0.3745809962584855,0.1384312431249018,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__ETH__phase2_lstm,phase2__ETH__phase0_lstm,sentiment_increment,0.37458099625848507,0.1384312431249018
phase2,ETH,sentiment_increment,Phase 2 vs Phase 0 for XGB,phase2_xgb,phase0_xgb,0.0241025392083516,0.0245146968044746,-0.000412157596123,-0.000412157596123,-1.538258673427341,5,0.125028982162785,0.1128464885731196,0.0564232442865598,304,0.6692350099165929,0.4097753735044748,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__ETH__phase2_xgb,phase2__ETH__phase0_xgb,sentiment_increment,0.6692350099165926,0.4097753735044748
phase2,ETH,benchmark_comparisons,Phase 2 XGB vs ARIMA,phase2_xgb,arima,0.0241025392083516,0.0229923275444329,0.0011102116639187,0.0011102116639187,2.1994651618322583,5,0.0285999812502258,0.0059732235351536,0.9970133882324232,304,0.142999906251129,0.0298661176757681,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__ETH__phase2_xgb,phase2__ETH__arima,benchmark_comparisons,0.5465234123567841,0.1971163766600688
phase2,ETH,sentiment_increment,Phase 2 vs Phase 1 for XGB,phase2_xgb,phase1_xgb,0.0241025392083516,0.0256170089363813,-0.0015144697280296,-0.0015144697280296,-3.273217067466958,5,0.0011862942409794,0.0013265555158195,0.0006632777579097,304,0.0142355308917539,0.0159186661898347,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__ETH__phase2_xgb,phase2__ETH__phase1_xgb,sentiment_increment,0.0142355308917528,0.015918666189834
phase2,ETH,benchmark_comparisons,Phase 2 XGB vs random walk,phase2_xgb,random_walk_zero_return,0.0241025392083516,0.0229388161849642,0.0011637230233873,0.0011637230233873,2.2928122191868834,5,0.0225437429994789,0.0047879949508048,0.9976060025245976,304,0.1352624579968737,0.0287279697048291,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__ETH__phase2_xgb,phase2__ETH__random_walk_zero_return,benchmark_comparisons,0.5465234123567841,0.167579823278168
phase2,ETH,benchmark_comparisons,Phase 2 LSTM vs random walk,phase2_lstm,random_walk_zero_return,0.0244506118447031,0.0229388161849642,0.0015117956597388,0.0015117956597388,3.36947540866906,5,0.0008505680821998,0.0001601646752644,0.9999199176623678,304,0.006804544657599,0.0012813174021156,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__ETH__phase2_lstm,phase2__ETH__random_walk_zero_return,benchmark_comparisons,0.0357238594523916,0.0070472457116336
phase2,BTC,sentiment_increment,Phase 2 vs Phase 1 for XGB,phase2_xgb,phase1_xgb,0.0171729494837657,0.0177068390992374,-0.0005338896154716,-0.0005338896154716,-1.4832712729468462,5,0.1390417407217263,0.1024438433761187,0.0512219216880593,304,0.6692350099165929,0.4097753735044748,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_xgb,phase2__BTC__phase1_xgb,sentiment_increment,0.6692350099165926,0.4097753735044748
phase2,BTC,sentiment_increment,Phase 2 vs Phase 0 for XGB,phase2_xgb,phase0_xgb,0.0171729494837657,0.0175112304956739,-0.0003382810119082,-0.0003382810119082,-1.5959643594580852,5,0.1115391683194321,0.0263834141824628,0.0131917070912314,304,0.6692350099165929,0.1933569609933168,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_xgb,phase2__BTC__phase0_xgb,sentiment_increment,0.6692350099165926,0.1933569609933168
phase2,BTC,benchmark_comparisons,Phase 2 LSTM vs ARIMA,phase2_lstm,arima,0.0166148163467547,0.0166770411305337,-6.222478377895108e-05,-6.222478377895524e-05,-0.6597358830215454,5,0.5099244775502929,0.2944884897268774,0.1472442448634387,304,0.9061357709374872,0.5889769794537549,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_lstm,phase2__BTC__arima,benchmark_comparisons,1.0,1.0
phase2,BTC,sentiment_increment,Phase 2 vs Phase 1 for LSTM,phase2_lstm,phase1_lstm,0.0166148163467547,0.0169558094125944,-0.0003409930658396,-0.0003409930658396,-2.4562568056778247,5,0.014600180476616,0.0264276499679104,0.0132138249839552,304,0.1314016242895444,0.1933569609933168,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase2/significance_final.csv,phase2__BTC__phase2_lstm,phase2__BTC__phase1_lstm,sentiment_increment,0.131401624289544,0.1933569609933168
