source_phase,asset,comparison,candidate_method,reference_method,candidate_result_id,reference_result_id,candidate_mae_significance,candidate_mae_registry,reference_mae_significance,reference_mae_registry,candidate_abs_diff,reference_abs_diff,pass_1e_10
phase3,ETH,Crypto FinBERT LSTM vs random walk,phase3_crypto_lstm,random_walk_zero_return,phase3__ETH__phase3_crypto_lstm,phase3__ETH__random_walk_zero_return,0.0235127788953677,0.0235127788953677,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase3,ETH,Crypto-specific vs general news for XGB,phase3_crypto_xgb,phase2_general_xgb,phase3__ETH__phase3_crypto_xgb,phase3__ETH__phase2_general_xgb,0.024686369537748,0.024686369537748,0.0241025392083516,0.0241025392083515,0.0,1.0061396160665481e-16,True
phase3,ETH,Crypto FinBERT XGB vs ARIMA,phase3_crypto_xgb,arima,phase3__ETH__phase3_crypto_xgb,phase3__ETH__arima,0.024686369537748,0.024686369537748,0.0229923275444329,0.0229923275444329,0.0,0.0,True
phase3,ETH,General FinBERT XGB vs ARIMA,phase2_general_xgb,arima,phase3__ETH__phase2_general_xgb,phase3__ETH__arima,0.0241025392083515,0.0241025392083515,0.0229923275444328,0.0229923275444329,0.0,1.0061396160665481e-16,True
phase3,ETH,Crypto FinBERT XGB vs random walk,phase3_crypto_xgb,random_walk_zero_return,phase3__ETH__phase3_crypto_xgb,phase3__ETH__random_walk_zero_return,0.024686369537748,0.024686369537748,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase3,ETH,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,phase3__ETH__phase3_crypto_lstm,phase3__ETH__phase2_general_lstm,0.0235127788953677,0.0235127788953677,0.0244506118447031,0.024450611844703,0.0,1.0061396160665481e-16,True
phase3,ETH,Crypto FinBERT LSTM vs ARIMA,phase3_crypto_lstm,arima,phase3__ETH__phase3_crypto_lstm,phase3__ETH__arima,0.0235127788953677,0.0235127788953677,0.0229923275444329,0.0229923275444329,0.0,0.0,True
phase3,ETH,General FinBERT LSTM vs ARIMA,phase2_general_lstm,arima,phase3__ETH__phase2_general_lstm,phase3__ETH__arima,0.024450611844703,0.024450611844703,0.0229923275444328,0.0229923275444329,0.0,1.0061396160665481e-16,True
phase3,ETH,General FinBERT LSTM vs random walk,phase2_general_lstm,random_walk_zero_return,phase3__ETH__phase2_general_lstm,phase3__ETH__random_walk_zero_return,0.024450611844703,0.024450611844703,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase3,ETH,General FinBERT XGB vs random walk,phase2_general_xgb,random_walk_zero_return,phase3__ETH__phase2_general_xgb,phase3__ETH__random_walk_zero_return,0.0241025392083515,0.0241025392083515,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase3,BTC,Crypto FinBERT XGB vs ARIMA,phase3_crypto_xgb,arima,phase3__BTC__phase3_crypto_xgb,phase3__BTC__arima,0.0176825910076034,0.0176825910076034,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase3,BTC,General FinBERT XGB vs ARIMA,phase2_general_xgb,arima,phase3__BTC__phase2_general_xgb,phase3__BTC__arima,0.0171729494837657,0.0171729494837657,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase3,BTC,Crypto FinBERT XGB vs random walk,phase3_crypto_xgb,random_walk_zero_return,phase3__BTC__phase3_crypto_xgb,phase3__BTC__random_walk_zero_return,0.0176825910076034,0.0176825910076034,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase3,BTC,General FinBERT XGB vs random walk,phase2_general_xgb,random_walk_zero_return,phase3__BTC__phase2_general_xgb,phase3__BTC__random_walk_zero_return,0.0171729494837657,0.0171729494837657,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase3,BTC,Crypto-specific vs general news for LSTM,phase3_crypto_lstm,phase2_general_lstm,phase3__BTC__phase3_crypto_lstm,phase3__BTC__phase2_general_lstm,0.0170401354644876,0.0170401354644876,0.0166148163467547,0.0166148163467547,0.0,0.0,True
phase3,BTC,Crypto FinBERT LSTM vs ARIMA,phase3_crypto_lstm,arima,phase3__BTC__phase3_crypto_lstm,phase3__BTC__arima,0.0170401354644876,0.0170401354644876,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase3,BTC,General FinBERT LSTM vs ARIMA,phase2_general_lstm,arima,phase3__BTC__phase2_general_lstm,phase3__BTC__arima,0.0166148163467547,0.0166148163467547,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase3,BTC,Crypto FinBERT LSTM vs random walk,phase3_crypto_lstm,random_walk_zero_return,phase3__BTC__phase3_crypto_lstm,phase3__BTC__random_walk_zero_return,0.0170401354644876,0.0170401354644876,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase3,BTC,General FinBERT LSTM vs random walk,phase2_general_lstm,random_walk_zero_return,phase3__BTC__phase2_general_lstm,phase3__BTC__random_walk_zero_return,0.0166148163467547,0.0166148163467547,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase3,BTC,Crypto-specific vs general news for XGB,phase3_crypto_xgb,phase2_general_xgb,phase3__BTC__phase3_crypto_xgb,phase3__BTC__phase2_general_xgb,0.0176825910076034,0.0176825910076034,0.0171729494837657,0.0171729494837657,0.0,0.0,True
phase4,ETH,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,phase4__ETH__phase4_short_window_only_lstm,phase4__ETH__phase3_reference_lstm,0.0229891201549323,0.0229891201549323,0.0235127788953677,0.0235127788953676,0.0,1.0061396160665481e-16,True
phase4,ETH,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,phase4__ETH__phase4_decay_only_lstm,phase4__ETH__phase3_reference_lstm,0.0229579835608969,0.0229579835608969,0.0235127788953677,0.0235127788953676,0.0,1.0061396160665481e-16,True
phase4,ETH,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,phase4__ETH__phase4_combined_lstm,phase4__ETH__phase3_reference_lstm,0.0229290013168198,0.0229290013168198,0.0235127788953677,0.0235127788953676,0.0,1.0061396160665481e-16,True
phase4,ETH,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,phase4__ETH__phase4_combined_lstm,phase4__ETH__phase4_short_window_only_lstm,0.0229290013168198,0.0229290013168198,0.0229891201549323,0.0229891201549323,0.0,0.0,True
phase4,ETH,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,phase4__ETH__phase4_combined_lstm,phase4__ETH__phase4_decay_only_lstm,0.0229290013168198,0.0229290013168198,0.0229579835608969,0.0229579835608969,0.0,0.0,True
phase4,ETH,Combined temporal changes vs Phase 3 for XGB,phase4_combined_xgb,phase3_reference_xgb,phase4__ETH__phase4_combined_xgb,phase4__ETH__phase3_reference_xgb,0.0242577740145353,0.0242577740145353,0.024686369537748,0.0246863695377479,0.0,9.71445146547012e-17,True
phase4,ETH,Short window only vs Phase 3 for XGB,phase4_short_window_only_xgb,phase3_reference_xgb,phase4__ETH__phase4_short_window_only_xgb,phase4__ETH__phase3_reference_xgb,0.0242577740145353,0.0242577740145353,0.024686369537748,0.0246863695377479,0.0,9.71445146547012e-17,True
phase4,ETH,Decay only vs Phase 3 for XGB,phase4_decay_only_xgb,phase3_reference_xgb,phase4__ETH__phase4_decay_only_xgb,phase4__ETH__phase3_reference_xgb,0.024686369537748,0.024686369537748,0.024686369537748,0.0246863695377479,0.0,9.71445146547012e-17,True
phase4,ETH,Phase 3 reference LSTM vs ARIMA,phase3_reference_lstm,arima,phase4__ETH__phase3_reference_lstm,phase4__ETH__arima,0.0235127788953676,0.0235127788953676,0.0229923275444328,0.0229923275444329,0.0,1.0061396160665481e-16,True
phase4,ETH,Combined vs short window only for XGB,phase4_combined_xgb,phase4_short_window_only_xgb,phase4__ETH__phase4_combined_xgb,phase4__ETH__phase4_short_window_only_xgb,0.0242577740145353,0.0242577740145353,0.0242577740145353,0.0242577740145353,0.0,0.0,True
phase4,ETH,Combined vs decay only for XGB,phase4_combined_xgb,phase4_decay_only_xgb,phase4__ETH__phase4_combined_xgb,phase4__ETH__phase4_decay_only_xgb,0.0242577740145353,0.0242577740145353,0.024686369537748,0.024686369537748,0.0,0.0,True
phase4,ETH,Phase 3 reference XGB vs random walk,phase3_reference_xgb,random_walk_zero_return,phase4__ETH__phase3_reference_xgb,phase4__ETH__random_walk_zero_return,0.0246863695377479,0.0246863695377479,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase4,ETH,Phase 3 reference LSTM vs random walk,phase3_reference_lstm,random_walk_zero_return,phase4__ETH__phase3_reference_lstm,phase4__ETH__random_walk_zero_return,0.0235127788953676,0.0235127788953676,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase4,ETH,Phase 3 reference XGB vs ARIMA,phase3_reference_xgb,arima,phase4__ETH__phase3_reference_xgb,phase4__ETH__arima,0.0246863695377479,0.0246863695377479,0.0229923275444328,0.0229923275444329,0.0,1.0061396160665481e-16,True
phase4,BTC,Combined vs short window only for XGB,phase4_combined_xgb,phase4_short_window_only_xgb,phase4__BTC__phase4_combined_xgb,phase4__BTC__phase4_short_window_only_xgb,0.0180130547440462,0.0180130547440462,0.0180130547440462,0.0180130547440462,0.0,0.0,True
phase4,BTC,Phase 3 reference LSTM vs random walk,phase3_reference_lstm,random_walk_zero_return,phase4__BTC__phase3_reference_lstm,phase4__BTC__random_walk_zero_return,0.0170401354644876,0.0170401354644876,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase4,BTC,Phase 3 reference LSTM vs ARIMA,phase3_reference_lstm,arima,phase4__BTC__phase3_reference_lstm,phase4__BTC__arima,0.0170401354644876,0.0170401354644876,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase4,BTC,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,phase4__BTC__phase4_short_window_only_lstm,phase4__BTC__phase3_reference_lstm,0.0168480274502366,0.0168480274502366,0.0170401354644876,0.0170401354644876,0.0,0.0,True
phase4,BTC,Combined vs decay only for XGB,phase4_combined_xgb,phase4_decay_only_xgb,phase4__BTC__phase4_combined_xgb,phase4__BTC__phase4_decay_only_xgb,0.0180130547440462,0.0180130547440462,0.0176825910076034,0.0176825910076034,0.0,0.0,True
phase4,BTC,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,phase4__BTC__phase4_combined_lstm,phase4__BTC__phase3_reference_lstm,0.0168175202337697,0.0168175202337697,0.0170401354644876,0.0170401354644876,0.0,0.0,True
phase4,BTC,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,phase4__BTC__phase4_combined_lstm,phase4__BTC__phase4_short_window_only_lstm,0.0168175202337697,0.0168175202337697,0.0168480274502366,0.0168480274502366,0.0,0.0,True
phase4,BTC,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,phase4__BTC__phase4_decay_only_lstm,phase4__BTC__phase3_reference_lstm,0.0167630123582427,0.0167630123582427,0.0170401354644876,0.0170401354644876,0.0,0.0,True
phase4,BTC,Phase 3 reference XGB vs random walk,phase3_reference_xgb,random_walk_zero_return,phase4__BTC__phase3_reference_xgb,phase4__BTC__random_walk_zero_return,0.0176825910076033,0.0176825910076033,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase4,BTC,Phase 3 reference XGB vs ARIMA,phase3_reference_xgb,arima,phase4__BTC__phase3_reference_xgb,phase4__BTC__arima,0.0176825910076033,0.0176825910076033,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase4,BTC,Short window only vs Phase 3 for XGB,phase4_short_window_only_xgb,phase3_reference_xgb,phase4__BTC__phase4_short_window_only_xgb,phase4__BTC__phase3_reference_xgb,0.0180130547440462,0.0180130547440462,0.0176825910076034,0.0176825910076033,0.0,1.0061396160665481e-16,True
phase4,BTC,Decay only vs Phase 3 for XGB,phase4_decay_only_xgb,phase3_reference_xgb,phase4__BTC__phase4_decay_only_xgb,phase4__BTC__phase3_reference_xgb,0.0176825910076034,0.0176825910076034,0.0176825910076034,0.0176825910076033,0.0,1.0061396160665481e-16,True
