asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase2_general,xgb,phase2_general_xgb,2024,0.017199325930194975,0.0243673911491917,-0.031844646499294305,0.5328947368421053,0.1379051285921145,304
BTC,phase2_general,xgb,phase2_general_xgb,2025,0.017203267329530533,0.024243299770922103,-0.021362031199320786,0.506578947368421,0.4317125502652969,304
BTC,phase2_general,xgb,phase2_general_xgb,7,0.017179293625764626,0.024578305742228045,-0.04978443801042909,0.5032894736842105,0.47713789976059184,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,42,0.016898996632142217,0.02423741556753421,-0.020866292365455674,0.48355263157894735,0.7359105326836264,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,123,0.017125774219190044,0.024312716269356535,-0.027219392248721608,0.47368421052631576,0.8352204939490167,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,2024,0.017269196129496952,0.02449356611541341,-0.042558147492791853,0.45394736842105265,0.9519508258782371,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,2025,0.016967530412132992,0.024294797011349324,-0.02570576243991307,0.4934210526315789,0.6128278898242461,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,7,0.017020439222488738,0.024256883711444212,-0.02250692551400202,0.46381578947368424,0.9064834941780341,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,42,0.017792849090246744,0.025002135647286483,-0.08630170203046128,0.5032894736842105,0.47713789976059184,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,123,0.017513901719660496,0.02471725299052973,-0.0616873710297543,0.506578947368421,0.4317125502652969,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,2024,0.018085483396950777,0.025472288550310373,-0.12754057057455648,0.4868421052631579,0.6971010550060723,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,2025,0.0179278400789016,0.025114455442118468,-0.09608384644620327,0.46710526315789475,0.8858173157079974,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,7,0.017584610243040262,0.024943087897427278,-0.08117670568947122,0.4967105263157895,0.568287449734703,304
ETH,benchmark,random_walk_zero_return,random_walk_zero_return,benchmark,0.02293881618496429,0.0335957913281933,-0.0018968102590299907,,,304
ETH,benchmark,arima,arima,benchmark,0.022992327544432912,0.03365921332209887,-0.005683133980972643,0.5197368421052632,0.26408946731637356,304
ETH,phase0,lstm,phase0_lstm,42,0.02531902865486072,0.03549967576084601,-0.11867006458322149,0.506578947368421,0.4317125502652969,304
ETH,phase0,lstm,phase0_lstm,123,0.0252748217972518,0.03572881933285574,-0.1331582732175831,0.506578947368421,0.4317125502652969,304
ETH,phase0,lstm,phase0_lstm,2024,0.02321649614820228,0.033845613221735814,-0.016852634267963573,0.4868421052631579,0.6971010550060723,304
ETH,phase0,lstm,phase0_lstm,2025,0.023634052537155517,0.03414258140563835,-0.034775055312594505,0.4901315789473684,0.6559315415238023,304
ETH,phase0,lstm,phase0_lstm,7,0.023510442900947767,0.03395117935047658,-0.023205753229801562,0.5098684210526315,0.38717211017575387,304
ETH,phase0,xgb,phase0_xgb,42,0.02437677040532636,0.03443359221659249,-0.052489829303174806,0.5098684210526315,0.38717211017575387,304
ETH,phase0,xgb,phase0_xgb,123,0.024654704640759105,0.03476420183161259,-0.07279754026433616,0.5197368421052632,0.26408946731637356,304
ETH,phase0,xgb,phase0_xgb,2024,0.024788692035207206,0.03493664796347689,-0.08346705761495121,0.5032894736842105,0.47713789976059184,304
ETH,phase0,xgb,phase0_xgb,2025,0.02523507181078243,0.03531285601002548,-0.10692687278048663,0.47039473684210525,0.8620948714078855,304
